order_index,question,question_type,difficulty,points,is_active,image_url,correct_answer,explanation
1,"Mia counts on in steps of 100. She starts at 946. Write the next number she says.",fill_blank,1,10,TRUE,,1046,"She counts forward by 100, so add 100 to 946: 946 + 100 = 1046."
2,"Kofi counts back in steps of 100. He starts at 1048. Write the next number he says.",fill_blank,1,10,TRUE,,948,"He counts backward by 100, so subtract 100 from 1048: 1048 - 100 = 948."
3,"Bibi counts on in steps of 1000. She starts at 1989. Write the next number she says.",fill_blank,1,10,TRUE,,2989,"She counts in thousands, so add 1000 to 1989: 1989 + 1000 = 2989."
4,"Pierre counts back in steps of 1000. He starts at 9999. Write the next number he says.",fill_blank,1,10,TRUE,,8999,"He counts backward in thousands, so subtract 1000 from 9999: 9999 - 1000 = 8999."
5,"Tara counts back in ones. She counts 3, 2, 1, 0. Write the next number she says.",fill_blank,1,10,TRUE,,-1,"She is counting back by 1 each time: 3, 2, 1, 0, so the next number is -1."
6,"Abdul writes a number sequence. The first term in his sequence is 8. He uses the rule 'subtract 2' to work out the next term. What is the fifth term in his sequence?",fill_blank,2,10,TRUE,images/math_s4_u1_l1.1_q6.png,0,"The sequence is 8, 6, 4, 2, 0"
7,"Use different first terms to make sequences that all have the term-to-term rule 'add 3'. Find a sequence where the terms are all multiples of 3.",fill_blank,2,10,TRUE,,"3, 6, 9, 12... (starts with a multiple of 3)","Any sequence starting with a multiple of 3 will work."
8,"Use different first terms to make sequences that all have the term-to-term rule 'add 3'. Find a sequence where the terms are not whole numbers.",fill_blank,2,10,TRUE,,"1.5, 4.5, 7.5...","Start with a non-whole number (for example 1.5), then keep adding 3: 1.5, 4.5, 7.5, ..."
9,"Use different first terms to make sequences that all have the term-to-term rule 'add 3'. Find a sequence where the terms are all odd.",fill_blank,3,10,TRUE,,"Impossible","Adding 3 (an odd number) to an odd number results in an even number, so they cannot all be odd."
10,"Use different first terms to make sequences that all have the term-to-term rule 'add 3'. Find a sequence where the terms include both 100 and 127.",fill_blank,3,10,TRUE,,"100, 103, 106... 127","127 - 100 = 27, which is a multiple of 3 (9 * 3), so counting by 3s from 100 will land on 127."
11,"Abdul makes a number sequence. The first term of his sequence is 397. His term-to-term rule is 'subtract 3'. Abdul says, 'If I keep subtracting 3 from 397 I will eventually reach 0.' Is he correct?",multiple_choice,2,10,TRUE,,"No","397 is not a multiple of 3 (397 = 132*3 + 1), so he will eventually reach 1, not 0."
12,"Which sequences are linear and which are not? Write the next term. Add five: 4, 9, 14, ...",fill_blank,1,10,TRUE,,"Linear; 19","The difference is constant (+5 each step), so the sequence is linear. Next term: 14 + 5 = 19."
13,"Which sequences are linear and which are not? Write the next term. Subtract four: 20, 16, 12, ...",fill_blank,1,10,TRUE,,"Linear; 8","The difference is constant (-4 each step), so the sequence is linear. Next term: 12 - 4 = 8."
14,"Which sequences are linear and which are not? Write the next term. Add one more each time: 2, 3, 5, ...",fill_blank,2,10,TRUE,,"Not linear; 8","The difference changes: +1, +2, +3."
15,"Which sequences are linear and which are not? Write the next term. Multiply by three: 2, 6, 18, ...",fill_blank,2,10,TRUE,,"Not linear; 54","The multiplier is constant, but the difference is not."
16,"Which sequences are linear and which are not? Write the next term. Subtract one less each time: 50, 41, 33, ...",fill_blank,2,10,TRUE,,"Not linear; 26","The difference changes: -9, -8, -7."
17,"Which sequences are linear and which are not? Write the next term. Divide by two: 32, 16, 8, ...",fill_blank,2,10,TRUE,,"Not linear; 4","The difference changes: -16, -8, -4."
